Buch,kapitel,jahr/zeitspanne ,id,name,geschlecht,zustand,Anmerkungen
2,1,3,CF,Christiane F,2,1,
2,1,3,DGB,Detlev (Anders Gode) Benedix,1,1,
2,1,3,DB,David Bowie,1,1,
2,1,3,BB,Ben Becker,1,1,
2,1,3,EM1,Embryo 1 (Baby von Gode),3,2,
2,1,3,OS,Otto Sander,1,1,
2,1,3,MS,Monika Sander/Becker,2,1,
2,1,3,MS2,Meret Sander/Becker,2,1,
2,1,3,AH,Alexander Hacke,1,1,
2,1,3,DM,Depeche Mode,1,1,
2,1,3,FE,Fetisch,1,1,
2,1,3,FES,Fetisch Schwester,2,1,
2,1,3,PL,Plez,1,1,
2,1,3,HKS,Hong Kong Syndikat,1,3,
2,1,"3,4,6",PA,Panagiotis,1,1,
2,1,"3,4",VPG,Vater Panagiotis,1,1,
2,1,3,HI,Hippies,4,1,
2,1,"3,4",MPG,Mutter Panagiotis,2,1,
2,1,"3,4,5",CH,Christos (Panagiotis' Bruder),1,1,
2,1,"3,4,5",MA,Maria (Christos Freundin),2,1,
2,1,4,EM2,Embryo 2 (Baby Panagiotis),3,2,
2,1,4,NAC,Nachbarn,4,1,
2,1,3,IT,Inhaber der Taverne,1,1,
2,1,3,FIT,Frau des Inhabers der T,1,1,
2,1,3,IP,Iggy Pop,1,1,
2,1,3,CS,Carlos Santana,1,1,
2,1,3,RH,Romy Haag,2,1,
2,1,"1,2",DE,Detlef (anderer),1,1,
2,1,4,GF,Godes Frau,2,1,
2,1,7,CFM,Christianes Mutter,2,1,
2,1,5,JKR,Jüngere Krankenschwester,2,1,will nicht bei Abtreibung assistieren
2,1,5,ÄKR,Ältere Krankenschwester,2,1,hilft bei Abtreibung
2,1,5,KVPA,Kumpel von Panagiotis ,4,1,überfallen Frau
2,1,5,ÜF,Überfallene Frau,2,1,
2,1,5,ACFPA,Anwalt CF und PA,1,1,
2,1,3,DGBF,Godes Freunde,4,1,
2,1,5,ÄKH,Ärzte im KH,4,1,
2,1,5,DIW,Dicke Weiber,2,1,
2,1,NA,BLHAK,Besitzer leeres Haus auf Kreta,1,1,